C0102,Employee Parking Lots,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0101 Land.pdf,,C0101 Land.pdf
C0103,Lawn,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0101 Land.pdf,,C0101 Land.pdf
C0105,Truck Driveways/Routes,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0101 Land.pdf,,C0101 Land.pdf
C0106,Pavement / concrete Slabs / Concrete Barriers And Walls,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0101 Land.pdf,,C0101 Land.pdf
C0111,Railroad Truck System (North),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0112,Railroad Track System (South),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0121,Trees / Shrubs and Grass,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0123,Frences / Gates / Posts and Signs,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0124,Weigh Scale,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0130,Parking / Outdoor Drive Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0131,Stand Alone Loading Docks,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0109 Railway System.pdf,,C0109 Railway System.pdf
C0134,Storm Water Retention Pond,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0133 Storm Water System.pdf,,C0133 Storm Water System.pdf
C0138,Storm Water Pit (Near Tanks 10 and 11),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0133 Storm Water System.pdf,,C0133 Storm Water System.pdf
C0150,Storm Water Ditches,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0133 Storm Water System.pdf,,C0133 Storm Water System.pdf
C0190,City Water Supply,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0133 Storm Water System.pdf,,C0133 Storm Water System.pdf
C0419,MPLB Roof,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0422,MPBL Stairs / Catwalks,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0423,MPLB Doors / Overhead Doors / Locks,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0424,MPLB Concrete Slab / Pits / Sumps,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0425,MPLB Electrical Room,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
C0426,MPLB Electrical Room,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C0418 Main Production Line Building.pdf,,C0418 Main Production Line Building.pdf
