H2012,AFES #1 Fume Piping System (From Coater to Monsanto),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2014,AFES #1 Booster Fan System,http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2016,AFES #1 Anderson Cooler (Spray Chamber - Water/Oil Fume Extraction System),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2019,AFES #1 Oil/Water Tank (Anderson),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2021,AFES #1 Oil/Water Overflow Tank (Anderson),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2023,AFES #1 Water Pump System (From Water Tank To Anderson Cooler),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2025,AFES #1 Water Piping System (Water Tank To/From Anderson Cooler),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2030,AFES #1 Oil Separator Tank (Anderson),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2032,AFES #1 Oil Separator Pump System,http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2034,AFES #1 Oil Piping System (To/From Oil Separator Tank),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2036,AFES #1 Oil Disposal Tank,http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2038,AFES #1 Oil Pit Pump System (To Separator Tank),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
H2040,AFES #1 Filter Fume Extraction System (Monsanto Unit ),http://operations.connect.na.local/support/Reliability/IKOHawkesbury/HawkesburyAssetDocuments/Asphalt Fume Extraction Elimination System 1 .pdf,,Asphalt Fume Extraction Elimination System 1 .pdf
