C0102,Employee Parking Lots,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Land.pdf,,Land.pdf
C0105,Truck Driveways/Routes,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Land.pdf,,Land.pdf
C0124,Weigh Scale #1 System (Office),http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Land.pdf,,Land.pdf
C0130,Parking/Outdoor Drive Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Land.pdf,,Land.pdf
C0419,MPLB roof,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0419,MPLB roof,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/MPLB_HVAC_Heating_Assets.pdf,,MPLB_HVAC_Heating_Assets.pdf
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/MPLB_HVAC_Heating_Assets.pdf,,MPLB_HVAC_Heating_Assets.pdf
C0420,MPLB Electrical / Lighting,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Administrative_Building_(L2J).pdf,,Administrative_Building_(L2J).pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Compressed_Air.pdf,,Compressed_Air.pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/MPLB_HVAC_Heating_Assets.pdf,,MPLB_HVAC_Heating_Assets.pdf
C0421,MPLB HVAC / Heating,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Administrative_Building_(L2J).pdf,,Administrative_Building_(L2J).pdf
C0422,MPLB Stairs / Catwalks,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
C0422,MPLB Stairs / Catwalks,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/MPLB_HVAC_Heating_Assets.pdf,,MPLB_HVAC_Heating_Assets.pdf
C0423,MPLB Doors / Overhead Doors / Locks,http://operations.connect.na.local/support/Reliability/IKOSlovakia/PlantAssetDocs/Buildings_Production_hall.pdf,,Buildings_Production_hall.pdf
