3-CI,3-CI,,COMPSET1
3E-MACH,3E MACHINERY WASTE SOLUTIONS,,COMPSET1
3M,3M,,COMPSET1
4B-COMP,4B COMPONENTS LTD(OLD WHIRGIG/WHIRLGIG),,COMPSET1
76-UNOCAL,76 UNOCAL,,COMPSET1
AART-META,M.F.A. Aarts Metaalbewerking,,COMPSET1
ABANAKI,ABANAKI,,COMPSET1
ABB,ABB,,COMPSET1
ABC-PLASTICS,ABC-PLASTICS,,COMPSET1
ABIC-BINZ,ABICOR BINZEL CORP,,COMPSET1
ABMAST,ABMAST,,COMPSET1
ABRATECH,"ABRATECH, INC",,COMPSET1
ABRESIST,ABRESIST,,COMPSET1
ABS,ABS,,COMPSET1
ABUS,ABUS,,COMPSET1
ABZ-COMP,ABZ COMPANY(ABZ VALVES & CONTROLS),,COMPSET1
AC-DELCO,AC-DELCO,,COMPSET1
ACCU-BELT,ACCURATE BELTING INDUSTRIAL,,COMPSET1
ACCU-CODER,ACCU-CODER (BRAND NAME),,COMPSET1
ACCU-TILT,ACCU-TILT,,COMPSET1
ACCUFORM,ACCUFORM SIGNS,,COMPSET1
ACCULITE,ACCULITE,,COMPSET1
ACCUTEK,ACCUTEK,,COMPSET1
ACCUWEB,BST ACCUWEB Web Guide Systems,,COMPSET1
ACE,ACE MANUFACTURING,,COMPSET1
ACE-CTRL,ACE CONTROLS,,COMPSET1
ACF-ENVI,ACF ENVIRONMENTAL,,COMPSET1
ACHE-COLL,ACHESON COLLOIDS COMPANY,,COMPSET1
ACHETER,ACHETER,,COMPSET1
ACI,"ACI ADVANCED CONTROLS, INC",,COMPSET1
ACI-HOIS,"ACI HOIST & CRANE, INC",,COMPSET1
ACME,ACME,,COMPSET1
ACME-TRANSIS,ACME-TRANSIS,,COMPSET1
ACS-GROUP,ACS GROUP,,COMPSET1
ACS-VALV,ACS VALVES,,COMPSET1
ACTIVEWORD,"ACTIVEWORD SYSTEMS, INC.",,COMPSET1
ACTREG,"ACTREG, S.A",,COMPSET1
ACU-RITE,ACU-RITE,,COMPSET1
ADAM-MAGN,ADAMS MAGNETIC,,COMPSET1
ADAM-RITE,ADAMS RITE (ASSA ABLOY),,COMPSET1
ADAPTALL,ADAPTALL MFG,,COMPSET1
ADDA-CORP,ADDA CORP,,COMPSET1
ADFAST,ADFAST CORP,,COMPSET1
ADMET,"ADMET, INC.",,COMPSET1
ADOS,ADOS MANUFACTURING,,COMPSET1
ADPRO,ADPRO-INSTRUMENTS LTD.,,COMPSET1
ADTECH,ADHESIVE TECHNOLOGIES,,COMPSET1
ADVA-CONT,ADVANTAGE CONTROLS,,COMPSET1
ADVA-ENGI,ADVANTAGE ENGINEERING,,COMPSET1
ADVA-ENVI,ADVANCED ENVIRONMENTAL SYSTEMS,,COMPSET1
ADVA-FIBRE,ADVANCED FIBRE TECHNOLOGY,,COMPSET1
ADVA-HYDR,ADVANCED HYDRAULICS,,COMPSET1
ADVA-LIFT,ADVANCE LIFTS,,COMPSET1
ADVA-SEAL,ADVANCED SEALING INT'L,,COMPSET1
ADVA-TECH,ADVANCED TECHNOLOGY VALVE,,COMPSET1
ADVANCE,ADVANCE,,COMPSET1
ADVANTECH,ADVANTECH,,COMPSET1
ADVENTICS,ADVENTICS CORP,,COMPSET1
AEC-INC,AEC INC,,COMPSET1
AEG,AEG,,COMPSET1
AEGIS-FLOW,AEGIS FLOW TECHNOLOGIES,,COMPSET1
AEMC,AEMC,,COMPSET1
AEON-LUB,AEON LUBRICANTS,,COMPSET1
AERO-FLO,AERO FLO,,COMPSET1
AERO-MOTIVE,AERO-MOTIVE COMPANY,,COMPSET1
AERO-SEAL,AERO-SEAL,,COMPSET1
AEROQUIP,AEROQUIP,,COMPSET1
AEROSTAR,AEROSTAR,,COMPSET1
AEROUOX,AEROUOX,,COMPSET1
AEROVENT,AEROVENT,,COMPSET1
AEROVOX,AEROVOX,,COMPSET1
AERVOE,AERVOE (CROWN),,COMPSET1
