route,assetnum,jpnum,jp_description,siteid,jt_description,description
WAC001M1PDME,B1605,NULL,NULL,BL,Winding (AC) Inspection,Pentane Unloading Pump
WAC001M1PDME,B1615,NULL,NULL,BL,Winding (AC) Inspection,Pentane Tank Transfer Pump 1
WAC001M1PDME,B1617,NULL,NULL,BL,Winding (AC) Inspection,Pentane Tank Transfer Pump 2
WAC001M1PDME,B1635,NULL,NULL,BL,Winding (AC) Inspection,Pentane Heat Exchanger
WAC001M1PDME,B1642,NULL,NULL,BL,Winding (AC) Inspection,Pentane Metering Tri-pump 1
WAC001M1PDME,B1643,NULL,NULL,BL,Winding (AC) Inspection,Pentane Metering Tri-pump 2
WAC001M1PDME,B1644,NULL,NULL,BL,Winding (AC) Inspection,Pentane Metering Tri-pump 3
T4600M3PPMM,T4630,BLT4630M3PPMM,Bundle Accumulation Conveyor - 3 Months - Preventive Maintenance - Mechanical,BL,Inspect Roller(Conveyor),Bundle Accumulation Conveyor
T4600M3PPMM,T4640,BLT4640M3PPMM,Bundle Transfer Conveyor - 3 Months - Preventive Maintenance - Mechanical,BL,Inspect Roller(Conveyor),Bundle Transfer Conveyor
T4600M3PPMM,T4660,BLT4660M3PPMM,Bundle Packaging Exit Conveyor(with Lifting System) - 3 Months - Preventive Maintenance - Mechanical,BL,Inspect Roller(Conveyor),Bundle Packaging Exit Conveyor (with Lifting System)
T4600M3HKGM,T4660,NULL,NULL,BL,ROLLER (CONVEYOR) INSPECTION,Bundle Packaging Exit Conveyor (with Lifting System)
T4600M3HKGM,T4640,NULL,NULL,BL,ROLLER (CONVEYOR) INSPECTION,Bundle Transfer Conveyor
T4600M3HKGM,T4630,NULL,NULL,BL,ROLLER (CONVEYOR) INSPECTION,Bundle Accumulation Conveyor
T4600M1PDMM,T4630,NULL,NULL,BL,BEARING INSPECTION,Bundle Accumulation Conveyor
T4600M1PDMM,T4640,NULL,NULL,BL,BEARING INSPECTION,Bundle Transfer Conveyor
T4600M1PDMM,T4660,NULL,NULL,BL,BEARING INSPECTION,Bundle Packaging Exit Conveyor (with Lifting System)
T4600M1LUBM,T4660,NULL,NULL,BL,BEARING INSPECTION,Bundle Packaging Exit Conveyor (with Lifting System)
T4600M1LUBM,T4640,NULL,NULL,BL,BEARING INSPECTION,Bundle Transfer Conveyor
T4600M1LUBM,T4630,NULL,NULL,BL,BEARING INSPECTION,Bundle Accumulation Conveyor
T4400Y1PPMM1,T4404,BLT4404Y1PPMM1,Single Roll Belt Conveyor 1 (with Reject Mechanism) - 1 Years - Preventive Maintenance - Mechanical,BL,Inspect Idler Roller(Conveyor),Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400Y1PPMM1,T4408,BLT4408Y1PPMM1,Single Roll Belt Conveyor 2 - 1 Years - Preventive Maintenance - Mechanical,BL,Inspect Idler Roller(Conveyor),Single Roll Belt Conveyor 2
T4400W1HKGO,T4430,NULL,NULL,BL,ROLL INSPECTION,Single Roll Film Dispenser
T4400W1HKGO,T4440,NULL,NULL,BL,ROLL INSPECTION,Single Roll Heat Shrink Blowers
T4400W1HKGM,T4408,NULL,NULL,BL,BELT (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 2
T4400W1HKGM,T4408,NULL,NULL,BL,PULLEY (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 2
T4400W1HKGM,T4408,NULL,NULL,BL,IDLER ROLLER (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 2
T4400W1HKGM,T4404,NULL,NULL,BL,BELT (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400W1HKGM,T4404,NULL,NULL,BL,PULLEY (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400W1HKGM,T4404,NULL,NULL,BL,IDLER ROLLER (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PPMM2,T4404,BLT4404M1PPMM2,Single Roll Belt Conveyor 1 (with Reject Mechanism) - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Belt(Conveyor),Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PPMM2,T4404,BLT4404M1PPMM2,Single Roll Belt Conveyor 1 (with Reject Mechanism) - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Pulley(Conveyor),Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PPMM2,T4408,BLT4408M1PPMM2,Single Roll Belt Conveyor 2 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Belt(Conveyor),Single Roll Belt Conveyor 2
T4400M1PPMM2,T4408,BLT4408M1PPMM2,Single Roll Belt Conveyor 2 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Pulley(Conveyor),Single Roll Belt Conveyor 2
T4400M1PPMM1,T4408,NULL,NULL,BL,BEARING INSPECTION,Single Roll Belt Conveyor 2
T4400M1PPMM1,T4408,NULL,NULL,BL,BEARING INSPECTION,Single Roll Belt Conveyor 2
T4400M1PPMM1,T4404,NULL,NULL,BL,BEARING INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PPMM1,T4404,NULL,NULL,BL,BEARING INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PDMM1,T4404,BLT4404M1PDMM1,Single Roll Belt Conveyor 1 (with Reject Mechanism) - 1 Months - Predictive Maintenance - Mechanical,BL,PULLEY (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PDMM1,T4404,BLT4404M1PDMM1,Single Roll Belt Conveyor 1 (with Reject Mechanism) - 1 Months - Predictive Maintenance - Mechanical,BL,BEARING INSPECTION,Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4400M1PDMM1,T4408,BLT4408M1PDMM1,Single Roll Belt Conveyor 2 - 1 Months - Predictive Maintenance - Mechanical,BL,PULLEY (CONVEYOR) INSPECTION,Single Roll Belt Conveyor 2
T4400M1PDMM1,T4408,BLT4408M1PDMM1,Single Roll Belt Conveyor 2 - 1 Months - Predictive Maintenance - Mechanical,BL,BEARING INSPECTION,Single Roll Belt Conveyor 2
T4400M1PDMM,T4430,NULL,NULL,BL,BEARING INSPECTION,Single Roll Film Dispenser
T4400M1PDMM,T4440,NULL,NULL,BL,BEARING INSPECTION,Single Roll Heat Shrink Blowers
T4400M1LUBM,T4440,NULL,NULL,BL,BEARING INSPECTION,Single Roll Heat Shrink Blowers
T4400M1LUBM,T4430,NULL,NULL,BL,BEARING INSPECTION,Single Roll Film Dispenser
T4200W1HKGO,T4260,NULL,NULL,BL,ROLL INSPECTION,Winder Roll Unloading Cart
T4200W1HKGO,T4210,NULL,NULL,BL,ROLL INSPECTION,Winder Dancer Rolls (Tension/Accumulation)
T4200W1HKGO,T4220,NULL,NULL,BL,ROLL INSPECTION,Winder Turret (2 Spindles)
T4200W1HKGM,T4280,NULL,NULL,BL,PHOTO EYE INSPECTION,Winder Core Hopper
T4200W1HKGM,T4290,NULL,NULL,BL,PHOTO EYE INSPECTION,Winder Core Loader
T3400M1PPMM,T3420,BLT3420M1PPMM,Cooling Roll 1 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect GearBox,Cooling Roll 1
T3400M1PPMM,T3420,BLT3420M1PPMM,Cooling Roll 1 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll,Cooling Roll 1
T3400M1PPMM,T3420,BLT3420M1PPMM,Cooling Roll 1 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll(Chrome),Cooling Roll 1
T3400M1PPMM,T3423,BLT3423M1PPMM,Cooling Roll 2 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect GearBox,Cooling Roll 2
T3400M1PPMM,T3423,BLT3423M1PPMM,Cooling Roll 2 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll,Cooling Roll 2
T3400M1PPMM,T3423,BLT3423M1PPMM,Cooling Roll 2 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll(Chrome),Cooling Roll 2
T3400M1PPMM,T3426,BLT3426M1PPMM,Cooling Roll 3 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect GearBox,Cooling Roll 3
T3400M1PPMM,T3426,BLT3426M1PPMM,Cooling Roll 3 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll,Cooling Roll 3
T3400M1PPMM,T3426,BLT3426M1PPMM,Cooling Roll 3 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll(Chrome),Cooling Roll 3
T3400M1PPMM,T3429,BLT3429M1PPMM,Cooling Roll 4 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect GearBox,Cooling Roll 4
T3400M1PPMM,T3429,BLT3429M1PPMM,Cooling Roll 4 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll,Cooling Roll 4
T3400M1PPMM,T3429,BLT3429M1PPMM,Cooling Roll 4 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll(Chrome),Cooling Roll 4
T3400M1PPMM,T3432,BLT3432M1PPMM,Cooling Roll 5 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect GearBox,Cooling Roll 5
T3400M1PPMM,T3432,BLT3432M1PPMM,Cooling Roll 5 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll,Cooling Roll 5
T3400M1PPMM,T3432,BLT3432M1PPMM,Cooling Roll 5 - 1 Months - Preventive Maintenance - Mechanical,BL,Inspect Roll(Chrome),Cooling Roll 5
T3140Y1PPMM2,T3299,NULL,NULL,BL,NUCLEAR GAUGE INSPECTION,Top Extrusion Thickness Monitoring System
T3140Y1PPMM2,T3227,NULL,NULL,BL,NUCLEAR GAUGE INSPECTION,Bottom Extrusion Thickness Monitoring System
T3140Y1PPMM1,T3205,BLT3205Y1PPMM1,Bottom Extrusion Die (with Melt Tube) - 1 Years - Preventive Maintenance - Mechanical,BL,Inspect Extrusion Die,Bottom Extrusion Die (with Melt Tube)
T3140Y1PPMM1,T3289,BLT3289Y1PPMM1,Top Extrusion Die (with Melt Tube) - 1 Years - Preventive Maintenance - Mechanical,BL,Inspect Extrusion Die,Top Extrusion Die (with Melt Tube)
T3140Y1PPMM,T3285,NULL,NULL,BL,CLUTCH INSPECTION,Top Extruder
T3140Y1PPMM,T3198,NULL,NULL,BL,CLUTCH INSPECTION,Bottom Extruder
T3140Y1PPME,T3198,BLT3198Y1PPME,Bottom Extruder - 1 Years - Preventive Maintenance - Electrical,BL,Inspect Encoder,Bottom Extruder
T3140Y1PPME,T3198,BLT3198Y1PPME,Bottom Extruder - 1 Years - Preventive Maintenance - Electrical,BL,Inspect Winding(AC),Bottom Extruder
T3140Y1PPME,T3285,BLT3285Y1PPME,Top Extruder - 1 Years - Preventive Maintenance - Electrical,BL,Inspect Encoder,Top Extruder
T3140Y1PPME,T3285,BLT3285Y1PPME,Top Extruder - 1 Years - Preventive Maintenance - Electrical,BL,Inspect Winding(AC),Top Extruder
T3140Y1PDMM,T3285,NULL,NULL,BL,SCREW INSPECTION,Top Extruder
T3140Y1PDMM,T3285,NULL,NULL,BL,BEARING INSPECTION,Top Extruder
T3140Y1PDMM,T3198,NULL,NULL,BL,SCREW INSPECTION,Bottom Extruder
T3140Y1PDMM,T3198,NULL,NULL,BL,BEARING INSPECTION,Bottom Extruder
T3140Y1PDME,T3198,NULL,NULL,BL,WINDING INSPECTION,Bottom Extruder
T3140Y1PDME,T3285,NULL,NULL,BL,WINDING INSPECTION,Top Extruder
T3140Y1LUBM2,T3265,NULL,NULL,BL,Gearbox Oil Inspection,Top Resin Feeder 1
T3140Y1LUBM2,T3274,NULL,NULL,BL,Gearbox Oil Inspection,Top Flame Retardant Feeder 4
