route,assetnum,jpnum,jpnum,description,asset desc
B0001D1PPMO,B1433,BLB1433D1PPMO,BLB1433D1PPMO,Pipe(Hydraulic) Inspection,Amine Expansion Vessel
B0001D1PPMO,B1437,BLB1437D1PPMO,BLB1437D1PPMO,Filter(Liquid) Inspection,Amine Piping System
B0001D1PPMO,B1441,BLB1441D1PPMO,BLB1441D1PPMO,Pipe(Hydraulic) Inspection,Acetate Expansion Vessel (Potassium)
B0001D1PPMO,B1444,BLB1444D1PPMO,BLB1444D1PPMO,Pipe(Hydraulic) Inspection,Acetate Piping System (Potassium)
B0001D1PPMO1,B1436,BLB1436D1PPMO1,BLB1436D1PPMO1,Gauge(Pressure) Inspection,Amine Metering Pump
B0001D1PPMO1,B1443,BLB1443D1PPMO1,BLB1443D1PPMO1,Gauge(Pressure) Inspection,Acetate Metering Pump (Potassium)
B0001D1PPMO1,B1444,BLB1444D1PPMO1,BLB1444D1PPMO1,Gauge(Pressure) Inspection,Acetate Piping System (Potassium)
B0001M1PDMM,B1105,BLB1105M1PDMM,BLB1105M1PDMM,Inspect Valve(Hand),Polyol Unloading Pump
B0001M1PDMM,B1115,BLB1115M1PDMM,BLB1115M1PDMM,Inspect Valve(Hand),Polyol Tanks Transfer Pump
B0001M1PDMM,B1140,BLB1140M1PDMM,BLB1140M1PDMM,Inspect Valve(Hand),Polyol Piping System
B0001M1PDMM,B1827,BLB1827M1PDMM,BLB1827M1PDMM,Inspect Valve(Hand),Polyol Mix Piping System
B0001M1PDMM1,B1140,NULL,BLB0001M1PDMM1,Valve (Check) Inspection,Polyol Piping System
B0001M1PDMM1,B1827,NULL,BLB0001M1PDMM1,Valve (Check) Inspection,Polyol Mix Piping System
B0001M1PPME,B1105,BLB1105M1PPME,BLB1105M1PPME,Inspect Motor(AC),Polyol Unloading Pump
B0001M1PPME,B1115,BLB1115M1PPME,BLB1115M1PPME,Inspect Motor(AC),Polyol Tanks Transfer Pump
B0001M1PPME,B1135,BLB1135M1PPME,BLB1135M1PPME,Inspect Motor(AC),Polyol Heat Exchanger
B0001M1PPME,B1803,BLB1803M1PPME,BLB1803M1PPME,Inspect Motor(AC),Polyol Mix Dynamic Mixer
B0001M1PPME,B1805,BLB1805M1PPME,BLB1805M1PPME,Inspect Motor(AC),Polyol Mix Delivery Pump
B0001M1PPME,B1813,BLB1813M1PPME,BLB1813M1PPME,Inspect Motor(AC),Polyol Mix Heat Exchanger 1
B0001M1PPME,B1815,BLB1815M1PPME,BLB1815M1PPME,Inspect Motor(AC),Polyol Mix Heat Exchanger 2
B0001M1PPME,B1817,BLB1817M1PPME,BLB1817M1PPME,Inspect Motor(AC),Polyol Mix Heat Exchanger 3
B0001M1PPME,B1820,BLB1820M1PPME,BLB1820M1PPME,Inspect Motor(AC),Polyol Mix Metering Pump 1
B0001M1PPME,B1822,BLB1822M1PPME,BLB1822M1PPME,Inspect Motor(AC),Polyol Mix Metering Pump 2
B0001M1PPME,B1824,BLB1824M1PPME,BLB1824M1PPME,Inspect Motor(AC),Polyol Mix Metering Pump 3
B0001M1PPMM,B1105,BLB1105M1PPMM,BLB1105M1PPMM,Inspect Arm(Torque),Polyol Unloading Pump
B0001M1PPMM,B1115,BLB1115M1PPMM,BLB1115M1PPMM,Inspect Arm(Torque),Polyol Tanks Transfer Pump
B0001M1PPMM,B1803,BLB1803M1PPMM,BLB1803M1PPMM,Inspect Pump for Leaks & Bad Noise,Polyol Mix Dynamic Mixer
B0001M1PPMM,B1805,BLB1805M1PPMM,BLB1805M1PPMM,Inspect Arm(Torque),Polyol Mix Delivery Pump
B0001M1PPMM,B1820,BLB1820M1PPMM,BLB1820M1PPMM,Inspect Arm(Torque),Polyol Mix Metering Pump 1
B0001M1PPMM,B1822,BLB1822M1PPMM,BLB1822M1PPMM,Inspect Arm(Torque),Polyol Mix Metering Pump 2
B0001M1PPMM,B1824,BLB1824M1PPMM,BLB1824M1PPMM,Inspect Arm(Torque),Polyol Mix Metering Pump 3
B0001M1PPMM1,B1105,BLB1105M1PPMM1,BLB1105M1PPMM1,Inspect Guard,Polyol Unloading Pump
B0001M1PPMM1,B1115,BLB1115M1PPMM1,BLB1115M1PPMM1,Inspect Guard,Polyol Tanks Transfer Pump
B0001M1PPMM1,B1803,BLB1803M1PPMM1,BLB1803M1PPMM1,Inspect Guard,Polyol Mix Dynamic Mixer
B0001M1PPMM1,B1805,BLB1805M1PPMM1,BLB1805M1PPMM1,Inspect Guard,Polyol Mix Delivery Pump
B0001M1PPMM1,B1820,BLB1820M1PPMM1,BLB1820M1PPMM1,Inspect Guard,Polyol Mix Metering Pump 1
B0001M1PPMM1,B1822,BLB1822M1PPMM1,BLB1822M1PPMM1,Inspect Guard,Polyol Mix Metering Pump 2
B0001M1PPMM1,B1824,BLB1824M1PPMM1,BLB1824M1PPMM1,Inspect Guard,Polyol Mix Metering Pump 3
B0001M1PPMM2,B1431,BLB1431M1PPMM2,BLB1431M1PPMM2,Diaphragm Pump Inspection,Amine IBC Pump
B0001M1PPMM2,B1436,BLB1436M1PPMM2,BLB1436M1PPMM2,Diaphragm Pump Inspection,Amine Metering Pump
B0001M1PPMM2,B1439,BLB1439M1PPMM2,BLB1439M1PPMM2,Diaphragm Pump Inspection,Acetate IBC Pump (Potassium)
B0001M3HKGM,B1105,NULL,BLB0001M3HKGM,Pump Cleaning,Polyol Unloading Pump
B0001M3HKGM,B1115,NULL,BLB0001M3HKGM,Pump Cleaning,Polyol Tanks Transfer Pump
B0001M3HKGM,B1805,NULL,BLB0001M3HKGM,Pump Cleaning,Polyol Mix Delivery Pump
B0001M3HKGM1,B1105,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Unloading Pump
B0001M3HKGM1,B1115,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Tanks Transfer Pump
B0001M3HKGM1,B1140,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Piping System
B0001M3HKGM1,B1140,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Piping System
B0001M3HKGM1,B1820,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Mix Metering Pump 1
B0001M3HKGM1,B1822,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Mix Metering Pump 2
B0001M3HKGM1,B1824,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Mix Metering Pump 3
B0001M3HKGM1,B1827,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Mix Piping System
B0001M3HKGM1,B1827,NULL,BLB0001M3HKGM1,Valve(Hand) Cleaning,Polyol Mix Piping System
B0001M3PPME,B1105,BLB1105M3PPME,BLB1105M3PPME,Inspect Motor(AC) 1,Polyol Unloading Pump
B0001M3PPME,B1115,BLB1115M3PPME,BLB1115M3PPME,Inspect Motor(AC) 1,Polyol Tanks Transfer Pump
B0001M3PPME,B1135,BLB1135M3PPME,BLB1135M3PPME,Inspect Motor(AC) 1,Polyol Heat Exchanger
B0001M3PPME,B1803,BLB1803M3PPME,BLB1803M3PPME,Inspect Motor(AC) 1,Polyol Mix Dynamic Mixer
