route,"assetnum - jt_description - description
"
WAC001M1PDME,"B1605 - Winding (AC) Inspection - Pentane Unloading Pump
B1615 - Winding (AC) Inspection - Pentane Tank Transfer Pump 1
B1617 - Winding (AC) Inspection - Pentane Tank Transfer Pump 2
B1635 - Winding (AC) Inspection - Pentane Heat Exchanger
B1642 - Winding (AC) Inspection - Pentane Metering Tri-pump 1
B1643 - Winding (AC) Inspection - Pentane Metering Tri-pump 2
B1644 - Winding (AC) Inspection - Pentane Metering Tri-pump 3
"
T4600M3PPMM,"T4630 - Inspect Roller(Conveyor) - Bundle Accumulation Conveyor
T4640 - Inspect Roller(Conveyor) - Bundle Transfer Conveyor
T4660 - Inspect Roller(Conveyor) - Bundle Packaging Exit Conveyor (with Lifting System)
"
T4600M3HKGM,"T4660 - ROLLER (CONVEYOR) INSPECTION - Bundle Packaging Exit Conveyor (with Lifting System)
T4640 - ROLLER (CONVEYOR) INSPECTION - Bundle Transfer Conveyor
T4630 - ROLLER (CONVEYOR) INSPECTION - Bundle Accumulation Conveyor
"
T4600M1PDMM,"T4630 - BEARING INSPECTION - Bundle Accumulation Conveyor
T4640 - BEARING INSPECTION - Bundle Transfer Conveyor
T4660 - BEARING INSPECTION - Bundle Packaging Exit Conveyor (with Lifting System)
"
T4600M1LUBM,"T4660 - BEARING INSPECTION - Bundle Packaging Exit Conveyor (with Lifting System)
T4640 - BEARING INSPECTION - Bundle Transfer Conveyor
T4630 - BEARING INSPECTION - Bundle Accumulation Conveyor
"
T4400Y1PPMM1,"T4404 - Inspect Idler Roller(Conveyor) - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4408 - Inspect Idler Roller(Conveyor) - Single Roll Belt Conveyor 2
"
T4400W1HKGO,"T4430 - ROLL INSPECTION - Single Roll Film Dispenser
T4440 - ROLL INSPECTION - Single Roll Heat Shrink Blowers
"
T4400W1HKGM,"T4408 - BELT (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 2
T4408 - PULLEY (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 2
T4408 - IDLER ROLLER (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 2
T4404 - BELT (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4404 - PULLEY (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4404 - IDLER ROLLER (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
"
T4400M1PPMM2,"T4404 - Inspect Belt(Conveyor) - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4404 - Inspect Pulley(Conveyor) - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4408 - Inspect Belt(Conveyor) - Single Roll Belt Conveyor 2
T4408 - Inspect Pulley(Conveyor) - Single Roll Belt Conveyor 2
"
T4400M1PPMM1,"T4408 - BEARING INSPECTION - Single Roll Belt Conveyor 2
T4408 - BEARING INSPECTION - Single Roll Belt Conveyor 2
T4404 - BEARING INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4404 - BEARING INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
"
T4400M1PDMM1,"T4404 - PULLEY (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4404 - BEARING INSPECTION - Single Roll Belt Conveyor 1 (with Reject Mechanism)
T4408 - PULLEY (CONVEYOR) INSPECTION - Single Roll Belt Conveyor 2
T4408 - BEARING INSPECTION - Single Roll Belt Conveyor 2
"
T4400M1PDMM,"T4430 - BEARING INSPECTION - Single Roll Film Dispenser
T4440 - BEARING INSPECTION - Single Roll Heat Shrink Blowers
"
T4400M1LUBM,"T4440 - BEARING INSPECTION - Single Roll Heat Shrink Blowers
T4430 - BEARING INSPECTION - Single Roll Film Dispenser
"
T4200W1HKGO,"T4260 - ROLL INSPECTION - Winder Roll Unloading Cart
T4210 - ROLL INSPECTION - Winder Dancer Rolls (Tension/Accumulation)
T4220 - ROLL INSPECTION - Winder Turret (2 Spindles)
"
T4200W1HKGM,"T4280 - PHOTO EYE INSPECTION - Winder Core Hopper
T4290 - PHOTO EYE INSPECTION - Winder Core Loader
"
T3400M1PPMM,"T3420 - Inspect GearBox - Cooling Roll 1
T3420 - Inspect Roll - Cooling Roll 1
T3420 - Inspect Roll(Chrome) - Cooling Roll 1
T3423 - Inspect GearBox - Cooling Roll 2
T3423 - Inspect Roll - Cooling Roll 2
T3423 - Inspect Roll(Chrome) - Cooling Roll 2
T3426 - Inspect GearBox - Cooling Roll 3
T3426 - Inspect Roll - Cooling Roll 3
T3426 - Inspect Roll(Chrome) - Cooling Roll 3
T3429 - Inspect GearBox - Cooling Roll 4
T3429 - Inspect Roll - Cooling Roll 4
T3429 - Inspect Roll(Chrome) - Cooling Roll 4
T3432 - Inspect GearBox - Cooling Roll 5
T3432 - Inspect Roll - Cooling Roll 5
T3432 - Inspect Roll(Chrome) - Cooling Roll 5
"
T3140Y1PPMM2,"T3299 - NUCLEAR GAUGE INSPECTION - Top Extrusion Thickness Monitoring System
T3227 - NUCLEAR GAUGE INSPECTION - Bottom Extrusion Thickness Monitoring System
"
T3140Y1PPMM1,"T3205 - Inspect Extrusion Die - Bottom Extrusion Die (with Melt Tube)
T3289 - Inspect Extrusion Die - Top Extrusion Die (with Melt Tube)
"
T3140Y1PPMM,"T3285 - CLUTCH INSPECTION - Top Extruder
T3198 - CLUTCH INSPECTION - Bottom Extruder
"
T3140Y1PPME,"T3198 - Inspect Encoder - Bottom Extruder
T3198 - Inspect Winding(AC) - Bottom Extruder
T3285 - Inspect Encoder - Top Extruder
T3285 - Inspect Winding(AC) - Top Extruder
"
T3140Y1PDMM,"T3285 - SCREW INSPECTION - Top Extruder
T3285 - BEARING INSPECTION - Top Extruder
T3198 - SCREW INSPECTION - Bottom Extruder
T3198 - BEARING INSPECTION - Bottom Extruder
"
T3140Y1PDME,"T3198 - WINDING INSPECTION - Bottom Extruder
T3285 - WINDING INSPECTION - Top Extruder
"
T3140Y1LUBM2,"T3265 - Gearbox Oil Inspection - Top Resin Feeder 1
T3274 - Gearbox Oil Inspection - Top Flame Retardant Feeder 4
T3280 - Gearbox Oil Inspection - Top Weathering Package Feeder 5
T3283 - Gearbox Oil Inspection - Top White Pigment Feeder 6
T3185 - Gearbox Oil Inspection - Bottom Extrusion Recycle Feeder 11
T3193 - Gearbox Oil Inspection - Bottom Extrusion Weathering Package Feeder 13
T3188 - Gearbox Oil Inspection - Bottom Extrusion Edge Trim Feeder 12
T3176 - Gearbox Oil Inspection - Bottom Extrusion Pigment Feeder 9 (Black)
T3170 - Gearbox Oil Inspection - Bottom Extrusion Resin Feeder 7
T3179 - Gearbox Oil Inspection - Bottom Extrusion Flame Retardant Feeder 10
"
T3140Y1LUBM1,"T3203 - Replace Gearbox Oil - Bottom Extruder Melt Pump
T3288 - Replace Gearbox Oil - Top Extruder Melt Pump
"
T3140Y1LUBM,"T3285 - OIL (GEARBOX) INSPECTION - Top Extruder
T3198 - OIL (GEARBOX) INSPECTION - Bottom Extruder
"
T3140W52PPMO,"T3193 - Inspect Load Cell Test - Bottom Extrusion Weathering Package Feeder 13
T3185 - Inspect Load Cell Test - Bottom Extrusion Recycle Feeder 11
T3179 - Inspect Load Cell Test - Bottom Extrusion Flame Retardant Feeder 10
T3188 - Inspect Load Cell Test - Bottom Extrusion Edge Trim Feeder 12
T3170 - Inspect Load Cell Test - Bottom Extrusion Resin Feeder 7
T3176 - Inspect Load Cell Test - Bottom Extrusion Pigment Feeder 9 (Black)
T3265 - Inspect Load Cell Test - Top Resin Feeder 1
"
T3140W1PPMM1,"T3285 - Inspect Trough(TPO Extruder) - Top Extruder
T3198 - Inspect Trough(TPO Extruder) - Bottom Extruder
"
T3140W1PPMM,"T3198 - AIR NOZZLE INSPECTION - Bottom Extruder
T3285 - AIR NOZZLE INSPECTION - Top Extruder
"
T3140W1HKGO1,"T3227 - LENS INSPECTION - Bottom Extrusion Thickness Monitoring System
T3299 - LENS INSPECTION - Top Extrusion Thickness Monitoring System
"
T3140W1HKGO,"T3294 - ROLL (CALENDER) INSPECTION - Top Calender Roll 4
T3291 - ROLL (CALENDER) INSPECTION - Top Calender Roll 2
T3293 - ROLL (CALENDER) INSPECTION - Top Calender Roll 3
T3290 - ROLL (CALENDER) INSPECTION - Top Calender Roll 1
T3208 - ROLL (CALENDER) INSPECTION - Bottom Extrusion Calender Roll 1
T3214 - ROLL (CALENDER) INSPECTION - Bottom Extrusion Calender Roll 3
T3217 - ROLL (CALENDER) INSPECTION - Bottom Extrusion Calender Roll 4
T3211 - ROLL (CALENDER) INSPECTION - Bottom Extrusion Calender Roll 2
"
