route,"description - assetnum - asset desc
"
B0001D1PPMO,"Pipe(Hydraulic) Inspection - B1433 - Amine Expansion Vessel
Filter(Liquid) Inspection - B1437 - Amine Piping System
Pipe(Hydraulic) Inspection - B1441 - Acetate Expansion Vessel (Potassium)
Pipe(Hydraulic) Inspection - B1444 - Acetate Piping System (Potassium)
"
B0001D1PPMO1,"Gauge(Pressure) Inspection - B1436 - Amine Metering Pump
Gauge(Pressure) Inspection - B1443 - Acetate Metering Pump (Potassium)
Gauge(Pressure) Inspection - B1444 - Acetate Piping System (Potassium)
"
B0001M1PDMM,"Inspect Valve(Hand) - B1105 - Polyol Unloading Pump
Inspect Valve(Hand) - B1115 - Polyol Tanks Transfer Pump
Inspect Valve(Hand) - B1140 - Polyol Piping System
Inspect Valve(Hand) - B1827 - Polyol Mix Piping System
"
B0001M1PDMM1,"Valve (Check) Inspection - B1140 - Polyol Piping System
Valve (Check) Inspection - B1827 - Polyol Mix Piping System
"
B0001M1PPME,"Inspect Motor(AC) - B1105 - Polyol Unloading Pump
Inspect Motor(AC) - B1115 - Polyol Tanks Transfer Pump
Inspect Motor(AC) - B1135 - Polyol Heat Exchanger
Inspect Motor(AC) - B1803 - PolyolÂ MixÂ Dynamic Mixer
Inspect Motor(AC) - B1805 - Polyol Mix Delivery Pump
Inspect Motor(AC) - B1813 - Polyol Mix Heat Exchanger 1
Inspect Motor(AC) - B1815 - Polyol Mix Heat Exchanger 2
Inspect Motor(AC) - B1817 - Polyol Mix Heat Exchanger 3
Inspect Motor(AC) - B1820 - Polyol Mix Metering Pump 1
Inspect Motor(AC) - B1822 - Polyol Mix Metering Pump 2
Inspect Motor(AC) - B1824 - Polyol Mix Metering Pump 3
"
B0001M1PPMM,"Inspect Arm(Torque) - B1105 - Polyol Unloading Pump
Inspect Arm(Torque) - B1115 - Polyol Tanks Transfer Pump
Inspect Pump for Leaks & Bad Noise - B1803 - PolyolÂ MixÂ Dynamic Mixer
Inspect Arm(Torque) - B1805 - Polyol Mix Delivery Pump
Inspect Arm(Torque) - B1820 - Polyol Mix Metering Pump 1
Inspect Arm(Torque) - B1822 - Polyol Mix Metering Pump 2
Inspect Arm(Torque) - B1824 - Polyol Mix Metering Pump 3
"
B0001M1PPMM1,"Inspect Guard - B1105 - Polyol Unloading Pump
Inspect Guard - B1115 - Polyol Tanks Transfer Pump
Inspect Guard - B1803 - PolyolÂ MixÂ Dynamic Mixer
Inspect Guard - B1805 - Polyol Mix Delivery Pump
Inspect Guard - B1820 - Polyol Mix Metering Pump 1
Inspect Guard - B1822 - Polyol Mix Metering Pump 2
Inspect Guard - B1824 - Polyol Mix Metering Pump 3
"
B0001M1PPMM2,"Diaphragm Pump Inspection - B1431 - Amine IBC Pump
Diaphragm Pump Inspection - B1436 - Amine Metering Pump
Diaphragm Pump Inspection - B1439 - Acetate IBC Pump (Potassium)
"
B0001M3HKGM,"Pump Cleaning - B1105 - Polyol Unloading Pump
Pump Cleaning - B1115 - Polyol Tanks Transfer Pump
Pump Cleaning - B1805 - Polyol Mix Delivery Pump
"
B0001M3HKGM1,"Valve(Hand) Cleaning - B1105 - Polyol Unloading Pump
Valve(Hand) Cleaning - B1115 - Polyol Tanks Transfer Pump
Valve(Hand) Cleaning - B1140 - Polyol Piping System
Valve(Hand) Cleaning - B1140 - Polyol Piping System
Valve(Hand) Cleaning - B1820 - Polyol Mix Metering Pump 1
Valve(Hand) Cleaning - B1822 - Polyol Mix Metering Pump 2
Valve(Hand) Cleaning - B1824 - Polyol Mix Metering Pump 3
Valve(Hand) Cleaning - B1827 - Polyol Mix Piping System
Valve(Hand) Cleaning - B1827 - Polyol Mix Piping System
"
B0001M3PPME,"Inspect Motor(AC) 1 - B1105 - Polyol Unloading Pump
Inspect Motor(AC) 1 - B1115 - Polyol Tanks Transfer Pump
Inspect Motor(AC) 1 - B1135 - Polyol Heat Exchanger
Inspect Motor(AC) 1 - B1803 - PolyolÂ MixÂ Dynamic Mixer
Inspect Motor(AC) 1 - B1805 - Polyol Mix Delivery Pump
Inspect Motor(AC) 1 - B1813 - Polyol Mix Heat Exchanger 1
Inspect Motor(AC) 1 - B1815 - Polyol Mix Heat Exchanger 2
Inspect Motor(AC) 1 - B1817 - Polyol Mix Heat Exchanger 3
Inspect Motor(AC) 1 - B1820 - Polyol Mix Metering Pump 1
Inspect Motor(AC) 1 - B1822 - Polyol Mix Metering Pump 2
Inspect Motor(AC) 1 - B1824 - Polyol Mix Metering Pump 3
"
B0001M3PPME1,"Inspect Sensor(Level) - B1110 - Polyol Storage Tank 1
Inspect Sensor(Level) - B1114 - Polyol Storage Tank 2
Inspect Sensor(Level) - B1135 - Polyol Heat Exchanger
Inspect Sensor(Level) - B1813 - Polyol Mix Heat Exchanger 1
Inspect Sensor(Level) - B1815 - Polyol Mix Heat Exchanger 2
Inspect Sensor(Level) - B1817 - Polyol Mix Heat Exchanger 3
"
B0001M3PPMM,"Inspect Hose(Pneumatic) - B1103 - Polyol Unloading Station (Truck)
Inspect Hose(Pneumatic) - B1140 - Polyol Piping System
Inspect Hose(Pneumatic) - B1809 - Polyol Mix Pressure Vessel
Inspect Hose(Pneumatic) - B1827 - Polyol Mix Piping System
"
B0001M3PPMM1,"Inspect Valve - B1103 - Polyol Unloading Station (Truck)
Inspect Valve - B1135 - Polyol Heat Exchanger
Inspect Valve - B1805 - Polyol Mix Delivery Pump
Inspect Valve - B1813 - Polyol Mix Heat Exchanger 1
Inspect Valve - B1815 - Polyol Mix Heat Exchanger 2
Inspect Valve - B1817 - Polyol Mix Heat Exchanger 3
"
B0001M3PPMM2,"Inspect Valve(Hand) - B1820 - Polyol Mix Metering Pump 1
Inspect Valve(Hand) - B1822 - Polyol Mix Metering Pump 2
Inspect Valve(Hand) - B1824 - Polyol Mix Metering Pump 3
"
B0001M3PPMM3,"Inspect Coupling - B1105 - Polyol Unloading Pump
Inspect Coupling - B1115 - Polyol Tanks Transfer Pump
Inspect Coupling - B1803 - PolyolÂ MixÂ Dynamic Mixer
Inspect Coupling - B1805 - Polyol Mix Delivery Pump
Inspect Coupling - B1820 - Polyol Mix Metering Pump 1
Inspect Coupling - B1822 - Polyol Mix Metering Pump 2
Inspect Coupling - B1824 - Polyol Mix Metering Pump 3
"
B0001M3PPMM4,"Valve(Hand) Cleaning - B1431 - Amine IBC Pump
Valve(Hand) Cleaning - B1433 - Amine Expansion Vessel
Valve(Hand) Cleaning - B1436 - Amine Metering Pump
Valve(Hand) Cleaning - B1441 - Acetate Expansion Vessel (Potassium)
Valve(Hand) Cleaning - B1444 - Acetate Piping System (Potassium)
"
B0001M3PPMO,"Inspect Valve(Ball/Butterfly/Globe) - B1140 - Polyol Piping System
Inspect Valve(Ball/Butterfly/Globe) - B1827 - Polyol Mix Piping System
"
B0001M6HKGO,"Sensor(Level) Cleaning - B1110 - Polyol Storage Tank 1
Sensor(Level) Cleaning - B1114 - Polyol Storage Tank 2
Sensor(Level) Cleaning - B1135 - Polyol Heat Exchanger
Sensor(Level) Cleaning - B1813 - Polyol Mix Heat Exchanger 1
Sensor(Level) Cleaning - B1815 - Polyol Mix Heat Exchanger 2
Sensor(Level) Cleaning - B1817 - Polyol Mix Heat Exchanger 3
"
B0001M6PPMM,"Inspect Valve(Flow Control) 1 - B1110 - Polyol Storage Tank 1
Inspect Valve(Flow Control) 1 - B1114 - Polyol Storage Tank 2
Inspect Valve(Flow Control) 1 - B1135 - Polyol Heat Exchanger
Inspect Valve(Flow Control) 1 - B1140 - Polyol Piping System
Inspect Valve(Flow Control) 1 - B1813 - Polyol Mix Heat Exchanger 1
Inspect Valve(Flow Control) 1 - B1815 - Polyol Mix Heat Exchanger 2
Inspect Valve(Flow Control) 1 - B1817 - Polyol Mix Heat Exchanger 3
Inspect Valve(Flow Control) 1 - B1827 - Polyol Mix Piping System
"
B0001M6PPMM1,"Sensor(Level) Cleaning - B1433 - Amine Expansion Vessel
Sensor(Level) Cleaning - B1441 - Acetate Expansion Vessel (Potassium)
"
B0001W1PPMO,"GearBox Inspection - B1436 - Amine Metering Pump
GearBox Inspection - B1436 - Amine Metering Pump
GearBox Inspection - B1443 - Acetate Metering Pump (Potassium)
GearBox Inspection - B1443 - Acetate Metering Pump (Potassium)
"
B0001W1PPMO1,"Valve(Hand) Inspection - B1431 - Amine IBC Pump
Valve(Hand) Inspection - B1433 - Amine Expansion Vessel
Valve(Hand) Inspection - B1436 - Amine Metering Pump
Valve(Hand) Inspection - B1441 - Acetate Expansion Vessel (Potassium)
Valve(Hand) Inspection - B1444 - Acetate Piping System (Potassium)
"
