IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIH6612W1INRM,0,9090625,2,ITEMSET1
IKO-CAD,GI,GIR2200LC1M,0,9044235,3,ITEMSET1
IKO-CAD,GI,GIR2200LC1M,0,9036802,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO10,0,9092444,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO10,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO10,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO11,0,9092444,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO11,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO11,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR6701PEMM,0,9050239,1,ITEMSET1
IKO-CAD,GI,GIR6701PEMM,0,9082318,1,ITEMSET1
IKO-CAD,GI,GIR6701PEMM,0,9082314,1,ITEMSET1
IKO-CAD,GI,GIR6701PEMM,0,9074706,1,ITEMSET1
IKO-CAD,GI,GIR6915PEMM,0,9050239,1,ITEMSET1
IKO-CAD,GI,GIR6915PEMM,0,9074706,1,ITEMSET1
IKO-CAD,GI,GIR6915PEMM,0,9082318,1,ITEMSET1
IKO-CAD,GI,GIR6915PEMM,0,9082314,1,ITEMSET1
IKO-CAD,GI,GIR6703PEMM,0,9082318,1,ITEMSET1
IKO-CAD,GI,GIR6703PEMM,0,9082314,1,ITEMSET1
IKO-CAD,GI,GIR6703PEMM,0,9050239,1,ITEMSET1
IKO-CAD,GI,GIR6703PEMM,0,9074706,1,ITEMSET1
IKO-CAD,GI,GIR7400M2PPMM,0,9033793,2,ITEMSET1
IKO-CAD,GI,GIR7400M2PPMM,0,9090962,2,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093722,1,ITEMSET1
IKO-CAD,GI,GIR6696PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR3546Y1PPMM,0,9038800,260,ITEMSET1
IKO-CAD,GI,GIR3546Y1PPMM,0,9070330,1,ITEMSET1
IKO-CAD,GI,GIR3546Y1PPMM,0,9039054,1,ITEMSET1
IKO-CAD,GI,GIR3546Y1PPMM,0,9045590,1,ITEMSET1
IKO-CAD,GI,GIR3546Y1PPMM,0,9095972,1,ITEMSET1
IKO-CAD,GI,GIR2200PEMM,0,9045640,1,ITEMSET1
IKO-CAD,GI,GIR2200PEMM,0,9045649,1,ITEMSET1
IKO-CAD,GI,GIR2200PEMM,0,9044235,3,ITEMSET1
IKO-CAD,GI,GIR2200PEMM,0,9036802,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9036300,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9036311,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9100844,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9100845,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3446PEMM,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9036300,1,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9036311,1,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9100844,1,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9100845,1,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3646PEMM,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9036300,1,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9036311,1,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9100844,1,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9100845,1,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3546PEMM,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9036300,1,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9036311,1,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9100844,1,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9100845,1,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3746PEMM,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR6510PEMM,0,9050239,1,ITEMSET1
IKO-CAD,GI,GIR6510PEMM,0,9074706,1,ITEMSET1
IKO-CAD,GI,GIR6510PEMM,0,9082318,1,ITEMSET1
IKO-CAD,GI,GIR6510PEMM,0,9082314,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9100442,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9095991,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9093730,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9093723,1,ITEMSET1
IKO-CAD,GI,GIR6676PEMM,0,9093722,1,ITEMSET1
