IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR3425PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO1,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO2,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO3,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO4,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO5,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO6,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO7,0,9092444,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO8,0,9092444,1,ITEMSET1
IKO-CAD,GI,GIR3425PEMO9,0,9092444,1,ITEMSET1
IKO-CAD,GI,GIR3475PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3475PEMO1,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3475PEMO4,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3475PEMO5,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3475PEMO6,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3479PEMO4,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3479PEMO5,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3479PEMO6,0,9056455,1,ITEMSET1
IKO-CAD,GI,GIR3483PEMO1,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3483PEMO2,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3483PEMO3,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3483PEMO4,0,9056455,1,ITEMSET1
